Lib ID,Species,Tissue,Sample prep type,Experiment,Starting RNA (ug),Post-Ribominus,non-ribo yield,Date of Ribominus,Person Ribominusing,Post-PolyA (ug),poly-a yield,Date of PolyA,Person PolyA-ing,Fragmentation Date,Post-Frag RNA(ug),Yield from frag,RNA used for cDNA(ug),cDNA (post purification)(ug),cDNA conc. (post size select/purification) (ng),date of final cDNA prep,comments,Platform,Quantity Sequenced (% lane),Order #,Data Folder,HTGU Sample ID,Date Submitted,Date Received,Output ~# reads,Library Location (tube),Data Location,Facility tube labeling TOP,Facility tube labeling SIDE,HTGU Machine ID,Result Notes,,,,,,,,,,,,,,
,Vibrio tubiashi,autoclaved C.gigas,MICROBExpress,Vtub exposed to C.gigas tissue,,,,,,,,,,,,,,,,,Sam's notebook 20081218; submitted just Vtub+gigas RNA,Illumina,,,,,,,,,,Roberts mRNA,Vibrio (our writing) Lib 1/23/09 DB 7.82ng/uL 200bp,,,,,,,,,,,,,,,,
,Mercenaria mercenaria,,,,,,,,,,,,,,,,,,,,,Illumina,,,,clam,,,,,,clam mRNA Seq lib,Illumina clam mRNA SEQ 21.3ng/uL 200bp,,,,,,,,,,,,,,,,
lean,Lake trout,,,,,,,,,,,,,,,,,,,,,,,,,Lean,,,,,,L (our writing),Lean (our writing) mRNA SEQ 200bp Roberts lab 3ng/uL,,,,,,,,,,,,,,,,
siscowet,Lake trout,,,,,,,,,,,,,,,,,,,,,,,,,Siscowet,,,,,,S (our writing),Siscowets (our writing) mRNA SEQ 200bp Roberts lab 6.24ng/uL,,,,,,,,,,,,,,,,
yoji1,Coho,,,,,,,,,,,,,,,,,,,,,Illumina,,,,Yoji-1,,,,,,Roberts mRNA Yoji,library Illumina 5/12/09 200bp32.6ng/uL,,,,,,,,,,,,,,,,
yoji2,Coho,,,,,,,,,,,,,,,,,,,,,Illumina,,,,9WFA FCE,,,,,,Roberts mRNA,Illumina 9WFAFCE mRNA 6/24/09,,,,,,,,,,,,,,,,
DH2,C. gigas,gill,Ribominus/polyA,Drayton Harbor,10,3.4,34.00%,9/15/2009,Mac,0.94,27.65%,9/21/2009,Mac/Sam,9/21/2009,0.3,31.91%,0.042,0.15,NA,10/2/2009,interior gel slices,SOLiD,,,,DH2,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_DH2.csfasta,DH2 (our writing),DH2 (our writing),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_DH2.qual,,,,,,,,,,,,,,,,,,
DH3,C. gigas,gill,Ribominus/polyA,Drayton Harbor,10,3.4,34.00%,9/15/2009,Mac,0.94,27.65%,9/21/2009,Mac/Sam,9/21/2009,0.3,31.91%,0.042,0.15,NA,10/2/2009,exterior gel slices,SOLiD,,,,DH3,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_DH3.csfasta,DH3 (our writing),DH3 (our writing),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_DH3.qual,,,,,,,,,,,,,,,,,,
BB3,C. gigas,gill,Ribominus/polyA,Big Beef Creek,10,2.7,27.00%,9/15/2009,Mac,0.93,34.44%,9/21/2009,Mac/Sam,9/21/2009,0.4,43.01%,0.06,NA,NA,10/2/2009,,SOLiD,,,,BB3,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_BB3.csfasta,BB3 (our writing),BB3 (our writing),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_BB3.qual,,,,,,,,,,,,,,,,,,
RBC 4,Trout,RBC,Ribominus/polyA,Control,8.6,0.99,11.51%,9/16/2009,Mac,0.33,33.75%,,,,0.093,27.83%,0.093,NA,0.0098,,,SOLiD,,,,RBC 4,,,,,,RBC 4 (our writing),3.41ng/uL Roberts 10/28,,,,,,,,,,,,,,,,
RBC 1,Trout,RBC,Ribominus/polyA,Poly I:C,7.2,1.5,20.83%,9/16/2009,Mac,0.36,24.12%,,,,0.1334,36.87%,0.1334,NA,0.01234,,,SOLiD,,,,RBC 1,,,,,,RBC 1 (our writing),Roberts 8.68ng/uL 10/27/09,,,,,,,,,,,,,,,,
RBC 2,Trout,RBC,Ribominus,Control,8.565,0.2322,2.71%,9/16/2009,Mac,NA,NA,,,,0.0018,0.78%,0.0018,NA,0.03568,,,SOLiD,,,,RBC 2,,,,,,RBC 2 (our writing),10/28 Roberts 37.1ng/uL,,,,,,,,,,,,,,,,
RBC 3,Trout,RBC,Ribominus,Poly I:C,8.4,0.7824,9.31%,9/16/2009,Mac,NA,NA,,,,0.531,67.87%,0.177,NA,0.01078,,,SOLiD,,,,RBC 3,,,,,,RBC 3 (our writing),8.47ng/uL Roberts 10/28,,,,,,,,,,,,,,,,
GE,C.gigas,larvae,Ribominus,Exposed,,0.8,#DIV/0!,,,NA,NA,,,,,,,0.3,0.18,,,SOLiD,,,,GE,,10/7/2009,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_RbbertsLab_GE_F3_QV.qual,GE (our writing),GE (our writing),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20091105_RbbertsLab_GE_F3.csfasta,,,,,,,,,,,,,,,,,,
