Contig	BARN	MASH
Mmercenaria_contig_1	28	51
Mmercenaria_contig_10	48	81
Mmercenaria_contig_100	134	110
Mmercenaria_contig_1000	82	48
Mmercenaria_contig_1001	59	90
Mmercenaria_contig_1002	94	56
Mmercenaria_contig_1003	196	147
Mmercenaria_contig_1004	80	64
Mmercenaria_contig_1005	83	36
Mmercenaria_contig_1006	28	58
Mmercenaria_contig_1007	73	58
Mmercenaria_contig_1008	1	83
Mmercenaria_contig_1009	65	66
Mmercenaria_contig_101	279	356
Mmercenaria_contig_1010	132	65
Mmercenaria_contig_1011	33	31
Mmercenaria_contig_1012	206	82
Mmercenaria_contig_1013	46	22
Mmercenaria_contig_1014	103	52
Mmercenaria_contig_1015	50	41
Mmercenaria_contig_1016	44	41
Mmercenaria_contig_1017	33	50
Mmercenaria_contig_1018	88	56
Mmercenaria_contig_1019	74	81
Mmercenaria_contig_102	96	89
Mmercenaria_contig_1020	76	37
Mmercenaria_contig_1021	55	62
Mmercenaria_contig_1022	54	40
Mmercenaria_contig_1023	38	22
Mmercenaria_contig_1024	86	50
Mmercenaria_contig_1025	119	67
Mmercenaria_contig_1026	108	44
Mmercenaria_contig_1027	13	33
Mmercenaria_contig_1028	60	49
Mmercenaria_contig_1029	59	43
Mmercenaria_contig_103	34	109
Mmercenaria_contig_1030	119	71
Mmercenaria_contig_1031	67	50
Mmercenaria_contig_1032	32	15
Mmercenaria_contig_1033	170	23
Mmercenaria_contig_1034	168	50
Mmercenaria_contig_1035	110	30
Mmercenaria_contig_1036	75	42
Mmercenaria_contig_1037	40	47
Mmercenaria_contig_1038	66	38
Mmercenaria_contig_1039	76	25
Mmercenaria_contig_104	133	105
Mmercenaria_contig_1040	65	42
Mmercenaria_contig_1041	133	62
Mmercenaria_contig_1042	63	55
Mmercenaria_contig_1043	142	57
Mmercenaria_contig_1044	77	35
Mmercenaria_contig_1045	94	15
Mmercenaria_contig_1046	102	44
Mmercenaria_contig_1047	95	56
Mmercenaria_contig_1048	88	36
Mmercenaria_contig_1049	66	80
Mmercenaria_contig_105	66	66
Mmercenaria_contig_1050	160	18
Mmercenaria_contig_1051	53	17
Mmercenaria_contig_1052	300	8
Mmercenaria_contig_1053	79	31
Mmercenaria_contig_1054	88	53
Mmercenaria_contig_1055	47	38
