Contig	Lean 	Siscowet 
Snamaycush_0001	12	2
Snamaycush_0002	11	13
Snamaycush_0003	2	2
Snamaycush_0004	15	9
Snamaycush_0005	19	6
Snamaycush_0006	41	31
Snamaycush_0007	6	4
Snamaycush_0008	44	29
Snamaycush_0009	80	91
Snamaycush_0010	1	3
Snamaycush_0011	31	41
Snamaycush_0012	16	14
Snamaycush_0013	234	165
Snamaycush_0014	0	0
Snamaycush_0015	7	7
Snamaycush_0016	47	38
Snamaycush_0017	7567	5061
Snamaycush_0018	7	4
Snamaycush_0019	16	11
Snamaycush_0020	10	7
Snamaycush_0021	5	2
Snamaycush_0022	1	1
Snamaycush_0023	7	9
Snamaycush_0024	13	17
Snamaycush_0025	17	16
Snamaycush_0026	1	4
Snamaycush_0027	101	65
Snamaycush_0028	16	12
Snamaycush_0029	187	125
Snamaycush_0030	7	1
Snamaycush_0031	462	339
Snamaycush_0032	7	2
Snamaycush_0033	10	5
Snamaycush_0034	4	2
Snamaycush_0035	1	0
Snamaycush_0036	37	491
Snamaycush_0037	31962	29829
Snamaycush_0038	3	0
Snamaycush_0039	7	8
Snamaycush_0040	210	122
Snamaycush_0041	4800	3863
Snamaycush_0042	82	65
Snamaycush_0043	1	2
Snamaycush_0044	140	96
Snamaycush_0045	11	22
Snamaycush_0046	28	20
Snamaycush_0047	52	29
Snamaycush_0048	19	14
Snamaycush_0049	7	4
Snamaycush_0050	37	29
Snamaycush_0051	126	121
Snamaycush_0052	0	1
Snamaycush_0053	19	12
Snamaycush_0054	22	18
Snamaycush_0055	0	3
Snamaycush_0056	11	8
Snamaycush_0057	1	1
Snamaycush_0058	13	8
Snamaycush_0059	7	7
Snamaycush_0060	36	22
Snamaycush_0061	1	5
Snamaycush_0062	84	59
Snamaycush_0063	154	122
Snamaycush_0064	12	8
Snamaycush_0065	0	0
Snamaycush_0066	2	0
Snamaycush_0067	13	7
Snamaycush_0068	1	1
Snamaycush_0069	4	2
Snamaycush_0070	371	196
Snamaycush_0071	67	48
Snamaycush_0072	6	9
Snamaycush_0073	68	41
Snamaycush_0074	6	7
Snamaycush_0075	13	6
Snamaycush_0076	14	6
Snamaycush_0077	1220	1085
Snamaycush_0078	3	12
Snamaycush_0079	22	25
Snamaycush_0080	240	109
Snamaycush_0081	9	5
Snamaycush_0082	15	21
Snamaycush_0083	1	2
Snamaycush_0084	79	74
Snamaycush_0085	0	0
Snamaycush_0086	1	0
Snamaycush_0087	82	65
Snamaycush_0088	28	26
Snamaycush_0089	1	0
Snamaycush_0090	211	190
Snamaycush_0091	125	66
Snamaycush_0092	273	234
Snamaycush_0093	7	4
Snamaycush_0094	38	29
Snamaycush_0095	127	128
Snamaycush_0096	101	69
Snamaycush_0097	74	40
Snamaycush_0098	25	12
Snamaycush_0099	1	2
Snamaycush_0100	23	24
Snamaycush_0101	433	434
Snamaycush_0102	7	7
Snamaycush_0103	0	0
Snamaycush_0104	0	0
Snamaycush_0105	8	8
Snamaycush_0106	15	7
Snamaycush_0107	56	82
Snamaycush_0108	66	70
Snamaycush_0109	22	36
Snamaycush_0110	29	33
Snamaycush_0111	10	5
Snamaycush_0112	1938	1608
Snamaycush_0113	12	11
Snamaycush_0114	14	8
Snamaycush_0115	6	1
Snamaycush_0116	0	0
Snamaycush_0117	45	63
Snamaycush_0118	29	17
Snamaycush_0119	15	14
Snamaycush_0120	8	5
Snamaycush_0121	19	18
